,STATE,COUNT,NAMEL,ALAND,AWATE,dc_id,P0130,H0100,P0030,P01202,H0180,H0040,P0040,H0020,P008004,P008005,P01200,P01204,c_0_5_1,c_0_5_3,c_1_5_1_2,c_1_5_1__,c_1_5_3_3,c_1_5_3_4,c_1_1_25_3,c_1_1_25_4,c_1_1_25_5,c_1_2_125,c_1_2_12_,c_1_3_3,c_1_3_4,c_1_3_5,Resilnc,FaildRt,LandUse,Community
73,12,57,Census Tract 29,1312385,0,74,22.83,16,0,7.9,0.6,3.6,4.6,8.7,7.1,0,0.7,1.5,1.7,1.8,2.5,2.3,2,2.8,2,2.6,2.8,1.6,2.5,1.5,2.5,3.3,0.867808605,0,Residential,2
74,12,57,Census Tract 30,1319130,19440,75,0,0,0,0,0,0,0,4,0,0,0,0,2.5,2.5,2.5,3,2,2.5,2.5,3,2.5,3,3.5,2,3,2,1,0,Industrial,1
75,12,57,Census Tract 31,1305317,3098,76,28.5,23,0,13,1,2,16,8,0,0,4,2,1,1,4,2,2,2,1,1,1,3,3,1,3,2,1,0,Industrial,1
76,12,57,Census Tract 34,1337127,0,77,35.5,11,0,3,1,1,0,2,7,0,0,0,3,1,4,1,1,4,1,1,1,1,4,1,1,5,1,0,Residential,3
77,12,57,Census Tract 35,1546707,14687,78,39.875,2.5,0,1.75,0,0.25,0,1.5,2.5,0,0.25,0.5,1.25,2,2.75,2.75,2.25,3.75,2,2.75,2,2.75,3.5,2.5,3.5,2.5,1,0,Industrial,1
78,12,57,Census Tract 36,3981568,47940,79,36.52222222,26.22222222,0.222222222,12.77777778,1.222222222,5,4.777777778,10.88888889,21,0.555555556,1.333333333,4.333333333,1.555555556,1.666666667,2.888888889,2.333333333,2.333333333,2.444444444,2.555555556,3,2.555555556,2,3.222222222,1.888888889,3.222222222,3.111111111,0.811882749,0,Industrial,1
79,12,57,Census Tract 37,9114012,1375188,80,5.967241379,2.982758621,0.206896552,7.275862069,0.155172414,0.586206897,9.068965517,1.413793103,13.51724138,0.465517241,0.172413793,0.5,1.413793103,1.517241379,2.103448276,1.75862069,1.724137931,2.017241379,1.517241379,1.75862069,1.879310345,1.586206897,2.655172414,1.551724138,2.068965517,2.068965517,0.850321273,0,Industrial,2
80,12,57,Census Tract 38,2168783,1485,81,15.325,8.5,0,3.875,0.625,0.625,1.625,2.75,7.75,0,0.25,0.5,1.625,1.5,2.375,2.25,1.875,1.875,1.625,2.125,2.5,1.625,2.75,1.875,2.625,1.875,0.778472255,0,Residential,1
81,12,57,Census Tract 39,1682183,0,82,9.554545455,2.757575758,0.03030303,1,0.03030303,1,0.393939394,2.060606061,0.666666667,0.090909091,0.03030303,0.272727273,1.636363636,1.575757576,2.333333333,1.96969697,1.818181818,2.393939394,2,2.484848485,2.121212121,2,2.727272727,2,2.121212121,2.484848485,0.888000297,0,Industrial,1
82,12,57,Census Tract 45,1889291,0,83,30.94375,44.375,0,19.8125,1.5625,6.9375,32.375,14.9375,9.25,0.5625,3.8125,5.25,1.5,1.4375,2.1875,1.625,1.5625,1.875,1.4375,1.9375,2,1.625,2.375,1.8125,1.75,1.6875,0.390777547,0,Residential,1
